Combination_ID	CADD1	CADD2	CADD3	CADD4	Biol_Dist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	ISPP_XL_B	HIPred_A	HIPred_B	dn_ds_A	dn_ds_B	BP_similarity	MF_similarity	Mentha_dist	KG_dist	Coexpression
testneg_47	1.144	0.386	0.341	-3	7.571	0.01	0.024	0.075	0.016	-0.5	-0.5	0.7	0.603	0.19	0.284	0.048	0.252	25.024	1.0	-0.935
testneg_48	-0.187	-3	0.552	-3	21.924	0.058	0.026	0.017	0.006	-0.5	-0.5	0.394	0.282	0.309	0.21	0.019	0.0	21.385	1.0	-0.048
testneg_49	0.632	-0.259	0.5	-3	16.846	0.015	0.009	0.615	0.006	-0.5	-0.5	0.793	0.441	0.253	0.314	None	None	None	3.0	-0.259
testneg_50	0.486	-3	0.516	-3	15.464	0.019	0.013	0.047	0.013	-0.5	-0.5	0.807	0.327	0.417	0.443	0.054	0.029	43.158	1.5	-2.18
testneg_51	-0.092	-3	2.405	-3	None	0.027	0.032	0.0	0.0	-0.5	-0.5	0.674	0.633	0.248	0.77	0.001	0.82	48.953	1.0	0.648
testneg_52	0.049	-3	0.388	-3	43.664	0.032	0.075	0.73	0.641	-0.5	-0.5	0.613	0.167	0.219	0.299	0.027	1.0	56.881	1.0	-0.323
testneg_53	0.642	0.608	1.823	-3	10.229	0.006	0.008	0.03	0.037	-0.5	-0.5	0.749	0.112	0.097	0.461	0.013	0.018	53.461	1.5	-0.576
testneg_54	1.078	-3	1.078	-0.078	19.444	0.577	0.022	0.019	0.046	-0.5	-0.5	0.485	0.304	0.077	0.685	0.091	0.869	60.271	1.0	-0.639
testneg_55	0.664	-3	1.179	-3	51.671	0.029	0.038	0.019	0.0	-0.5	-0.5	0.476	0.241	0.162	0.599	None	None	31.452	1.5	-0.766
testneg_56	2.486	-3	1.065	-3	20.956	0.0	0.727	0.01	0.0	-0.5	-0.5	0.613	0.253	0.185	0.417	0.002	0.392	12.88	1.0	-0.808
testneg_57	0.632	-3	0.632	0.141	32.062	0.044	0.033	0.009	0.0	-0.5	-0.5	0.768	0.36	0.094	0.411	None	0.644	69.941	1.0	-0.238
testneg_58	0.746	-3	3.856	-3	10.417	0.032	0.01	0.06	0.022	-0.5	-0.5	0.783	0.715	0.238	0.296	0.001	0.0	13.904	1.0	0.31
testneg_59	0.586	-3	-1.383	-3	20.942	0.0	0.019	0.669	0.029	-0.5	-0.5	0.112	0.407	0.874	0.196	0.002	0.771	31.365	1.0	0.31
testneg_60	-0.251	-3	-0.188	-3	10.076	0.0	0.035	0.0	0.035	-0.5	-0.5	0.112	0.493	1.262	0.722	0.0	0.021	23.791	1.5	None
testneg_61	0.044	0.044	0.759	-3	11.25	0.032	None	0.044	None	-0.5	-0.5	0.685	None	0.221	None	0.012	None	None	None	-0.935
testneg_62	-0.217	-3	-0.617	-0.642	23.487	0.021	0.065	0.017	0.0	-0.5	-0.5	0.421	0.301	0.204	0.933	0.003	0.252	58.076	1.5	-0.07
testneg_63	-0.169	-3	0.318	-0.289	32.176	0.033	0.142	0.0	0.029	-0.5	-0.5	0.39	0.123	0.32	0.559	0.01	0.037	71.551	1.5	None
testneg_64	0.052	-3	0.49	-3	11.967	0.107	0.139	0.05	0.121	-0.5	-0.5	0.747	0.325	0.142	0.481	0.087	0.402	23.518	1.0	-0.576
testneg_65	1.15	-3	0.062	-3	None	0.0	0.0	0.0	0.0	-0.5	-0.5	0.614	0.123	0.192	1.036	0.0	0.0	251.767	1.0	-0.154
testneg_66	-0.003	-3	0.932	-3	25.4	0.019	0.745	0.006	0.011	-0.5	-0.5	0.233	0.173	0.651	1.335	0.108	0.013	32.694	1.5	0.015
testneg_67	-0.236	-3	0.413	-3	12.312	0.032	0.067	0.013	0.013	0.637	-0.5	0.582	0.28	0.306	0.72	0.002	0.0	84.0	1.5	-1.779
testneg_68	0.575	-3	0.672	-3	16.802	0.0	0.056	0.0	0.006	0.047	-0.5	0.488	0.669	0.553	0.358	None	0.908	21.848	1.0	-0.449
testneg_69	1.14	-3	-0.306	-3	19.265	0.019	0.0	0.0	0.0	-0.5	-0.5	0.197	0.112	0.372	0.455	0.019	0.622	91.413	1.0	None
testneg_70	0.965	-3	0.786	-3	10.0	0.0	0.024	0.073	0.615	-0.5	-0.5	0.825	0.651	0.262	0.275	0.002	0.021	27.532	1.5	-0.133
testneg_71	-0.633	-3	-0.274	-0.633	9.797	0.025	0.0	0.006	0.022	-0.5	-0.5	0.394	0.241	0.304	0.537	0.047	0.018	33.178	1.5	-0.576
testneg_72	0.499	-3	0.855	0.499	14.583	0.043	0.026	0.033	0.0	-0.5	-0.5	0.809	0.336	0.057	0.359	0.009	0.008	43.584	1.5	-0.196
testneg_73	-0.355	-0.355	-0.183	-3	16.488	0.04	0.0	0.0	0.0	-0.5	-0.5	0.492	0.123	0.428	0.655	0.004	0.0	None	1.0	None
testneg_74	1.732	-3	0.188	-3	14.388	0.006	0.006	0.0	0.687	-0.5	-0.5	0.673	0.322	0.175	0.401	0.041	0.473	43.028	1.0	-0.829
testneg_75	0.539	-3	0.539	0.511	None	0.006	0.0	0.006	0.0	-0.5	-0.5	0.333	None	0.1	0.494	None	None	52.519	1.5	None
testneg_76	0.601	-3	1.834	-3	5.978	0.701	0.013	0.036	0.013	-0.5	-0.5	0.749	0.655	0.238	0.128	0.142	0.114	21.834	1.5	-0.449
testneg_77	4.537	-3	-0.306	-3	18.578	0.013	0.071	0.016	0.0	-0.5	-0.5	0.243	0.282	0.522	0.198	0.015	0.269	53.395	1.0	None
testneg_78	0.924	-3	1.189	0.924	12.101	0.021	0.0	0.038	0.006	-0.5	0.049	0.765	0.195	0.134	0.721	None	0.0	14.81	1.0	-1.42
testneg_79	2.557	-3	0.629	-3	None	0.009	0.071	0.0	0.015	-0.5	-0.5	0.123	0.229	1.115	0.4	0.072	None	None	1.5	0.88
testneg_80	-0.033	-3	3.209	0.171	18.363	0.006	0.135	0.0	0.05	-0.5	-0.5	0.18	0.595	0.45	0.404	0.0	0.757	44.403	1.0	-0.829
testneg_81	1.789	0.715	0.56	-3	18.085	0.046	0.729	0.025	0.019	-0.5	-0.5	0.343	0.239	0.634	0.295	0.02	0.505	36.051	1.0	-0.344
testneg_82	2.625	-3	0.399	-3	10.417	0.024	0.019	0.659	0.031	-0.5	-0.5	0.785	0.52	0.095	0.414	0.073	0.53	21.487	1.0	-0.091
testneg_83	3.477	3.477	0.045	-3	None	0.013	0.015	0.069	0.0	-0.5	-0.5	0.153	0.272	0.482	0.098	0.038	0.018	57.863	1.333	2.421
testneg_84	0.68	-3	1.755	-3	17.778	0.06	0.006	0.038	0.66	-0.5	-0.5	0.654	0.602	0.123	0.172	0.001	0.016	41.882	1.5	-0.217
testneg_85	0.418	0.418	0.538	-3	13.117	0.0	0.065	0.009	0.013	-0.5	-0.5	0.659	0.55	0.422	0.198	None	0.026	34.893	1.5	-0.281
testneg_86	0.851	-3	-0.411	-1.169	17.778	0.013	0.0	0.013	0.0	-0.5	-0.5	0.775	0.112	0.281	0.614	0.017	0.009	None	1.5	None
testneg_87	3.609	-3	1.622	-3	18.889	0.0	0.043	0.046	0.088	-0.5	-0.5	0.758	0.755	0.244	0.038	0.013	0.209	35.267	1.0	1.534
testneg_88	0.44	-3	-0.253	-3	None	0.012	0.022	0.0	0.0	-0.5	-0.5	0.112	0.123	0.782	0.725	0.004	0.0	None	1.0	None
testneg_89	2.386	0.758	2.521	-3	18.333	0.042	0.071	0.026	0.04	-0.5	-0.5	0.729	0.303	0.121	0.294	0.287	0.665	27.68	1.0	None
testneg_90	0.781	-3	0.089	-3	None	0.0	0.032	0.0	0.019	-0.5	-0.5	0.17	0.146	0.34	0.204	0.001	0.911	37.886	1.0	-0.892
testneg_91	0.284	-3	-0.271	-3	22.16	0.019	0.0	0.019	0.0	-0.5	-0.5	0.311	0.112	0.252	0.595	0.007	0.006	None	1.333	None
testneg_92	0.612	-3	-0.253	-3	4.444	0.05	0.059	0.629	0.035	-0.5	-0.5	0.783	0.708	0.265	0.277	0.227	0.236	42.387	1.0	0.564
testneg_93	0.724	-3	2.419	1.554	20.663	0.008	0.019	0.0	0.0	-0.5	-0.5	0.251	0.216	0.786	0.65	None	0.019	None	1.333	-0.133
testneg_94	0.2	-3	0.745	-3	18.889	0.008	0.012	0.025	0.0	0.892	-0.5	0.704	0.594	0.48	0.434	0.026	0.573	42.44	1.0	0.205
testneg_95	0.165	-0.281	2.117	-3	13.466	0.03	0.0	0.013	0.0	-0.5	-0.5	0.251	0.144	0.307	0.586	0.018	0.0	None	1.5	None
testneg_96	-0.188	-3	0.293	-3	9.012	0.632	0.742	0.006	0.0	-0.5	-0.5	0.199	0.568	0.348	0.819	0.012	0.0	24.071	1.0	-0.618
testneg_97	0.562	-3	-0.729	-3	16.802	0.051	0.744	0.013	0.019	-0.5	-0.5	0.725	0.275	0.097	0.091	0.079	0.017	None	1.0	0.226
testneg_98	0.582	-3	1.151	-3	18.333	0.022	0.013	0.806	0.0	-0.5	-0.5	0.747	0.464	0.068	0.256	0.033	0.229	None	1.0	1.345
testneg_99	2.082	-3	2.637	-3	None	0.0	0.0	0.0	0.0	-0.5	-0.5	0.146	0.123	0.345	0.749	None	None	None	1.0	0.775
testneg_100	1.281	-3	1.453	-3	1.773	0.019	0.104	0.0	0.676	-0.5	-0.5	0.651	0.675	0.136	0.466	0.079	0.648	18.822	1.0	-0.66
testneg_101	0.169	-3	2.194	0.169	4.722	0.034	0.67	0.034	0.025	-0.5	-0.5	0.67	0.809	0.24	0.168	0.178	0.641	19.006	1.0	-1.336
testneg_102	0.5	-3	-0.455	-3	None	0.02	0.036	0.006	0.0	-0.5	-0.5	0.319	0.173	0.53	0.946	0.018	0.291	49.761	1.5	None
testneg_103	2.772	2.772	3.959	-3	11.948	0.028	0.15	0.027	0.026	-0.5	-0.5	None	0.593	0.326	0.226	0.08	0.416	50.851	1.0	0.606
testneg_104	-0.19	-3	0.533	-3	25.794	0.06	0.01	0.033	0.0	-0.5	-0.5	0.667	0.546	0.238	0.235	None	None	40.907	1.5	-0.091
testneg_105	0.88	-3	-0.679	-3	None	0.035	0.096	0.09	0.013	-0.5	-0.5	0.6	0.219	0.159	0.337	0.002	0.032	None	1.333	-1.167
testneg_106	0.465	-3	0.782	0.465	None	None	0.006	None	0.022	-0.5	0.0	0.163	0.324	0.43	0.273	0.004	0.005	121.023	1.5	-0.344
testneg_107	0.81	-3	-0.523	-3	16.802	0.017	0.0	0.038	0.0	-0.5	-0.5	0.706	0.112	0.051	0.418	0.022	0.019	41.888	1.0	0.163
testneg_108	3.532	-3	0.68	-0.2	None	0.053	0.749	0.592	0.013	-0.5	-0.5	0.377	0.172	0.23	0.37	0.047	0.926	41.365	1.0	0.838
testneg_109	0.617	-3	0.998	-3	18.512	0.059	0.037	0.035	0.0	-0.5	-0.5	0.725	0.123	0.214	0.936	None	0.42	43.958	1.0	None
testneg_110	1.34	-3	0.577	-3	None	0.0	0.05	0.0	0.0	-0.5	-0.5	0.231	0.146	0.161	1.265	None	1.0	35.281	1.0	None
testneg_111	1.022	-3	3.093	2.039	None	0.0	0.0	0.066	0.0	-0.5	-0.5	0.755	0.436	0.195	0.653	0.004	0.285	53.408	1.0	-0.281
testneg_112	0.667	-3	-0.603	-3	45.72	0.045	0.028	0.0	0.019	-0.5	-0.5	0.604	0.213	0.446	0.323	0.074	0.007	41.777	1.5	0.31
testneg_113	4.272	-3	0.235	-3	11.548	0.022	0.0	0.037	0.037	-0.5	-0.5	0.644	0.744	0.083	0.317	0.003	0.03	20.523	1.5	-0.724
testneg_114	-0.472	-3	-0.621	-3	18.889	0.033	0.0	0.011	0.0	-0.5	-0.5	0.17	0.131	0.513	0.446	0.019	0.0	None	1.5	None
testneg_115	1.458	-3	1.116	-3	35.277	0.03	None	0.035	None	-0.5	-0.5	0.197	0.146	0.295	0.38	None	0.667	80.645	1.333	None
testneg_116	0.068	-3	2.971	-3	15.312	0.026	0.022	0.006	0.092	-0.5	-0.5	0.458	0.277	0.142	0.673	0.004	0.755	23.758	1.0	None
testneg_117	1.927	-3	2.232	-3	27.762	0.123	0.006	0.006	0.0	-0.5	-0.5	0.476	0.112	0.363	0.47	0.002	0.516	39.477	1.0	None
testneg_118	-0.038	-3	0.407	-3	18.543	0.0	0.045	0.027	0.05	-0.5	-0.5	0.706	0.343	0.169	0.508	0.001	0.0	40.733	1.0	-0.492
testneg_119	4.053	-3	0.638	-3	34.792	0.025	0.052	0.012	0.0	-0.5	-0.5	0.379	0.837	0.342	0.161	0.001	0.5	91.358	1.0	0.627
testneg_120	3.714	-3	0.017	-3	10.833	0.006	0.091	0.133	0.0	-0.5	-0.5	0.554	0.756	0.088	0.339	0.047	0.315	40.857	1.0	None
testneg_121	0.514	-3	4.355	-3	None	0.0	0.006	0.006	0.0	-0.5	0.019	0.246	0.226	0.267	0.536	0.002	0.849	12.88	1.0	0.015
testneg_122	3.705	-3	4.127	-3	9.303	0.115	0.041	0.034	0.0	-0.5	-0.5	0.825	0.436	0.191	0.433	0.019	None	17.411	1.0	0.69
testneg_123	-0.036	-3	-0.161	-3	29.347	0.684	0.017	0.0	0.0	-0.5	-0.5	0.544	0.112	0.219	0.968	0.0	0.334	73.363	1.0	None
testneg_124	0.562	-3	0.679	-3	11.863	0.013	0.083	0.138	0.006	-0.5	-0.5	0.831	0.756	0.282	0.139	0.008	0.086	15.664	1.0	-0.027
testneg_125	-0.319	-3	0.481	-3	20.031	0.157	0.042	0.031	0.644	-0.5	-0.5	0.233	0.605	0.604	0.317	0.071	0.859	46.43	1.0	0.606
testneg_126	0.052	-3	3.461	-3	5.972	0.059	0.033	0.021	0.013	-0.5	-0.5	0.673	0.736	0.059	0.223	0.03	0.954	11.889	1.0	0.036
testneg_127	0.302	-3	0.953	-3	20.906	0.0	0.029	0.026	0.031	-0.5	-0.5	0.785	0.575	0.265	0.205	0.041	0.019	19.985	1.5	-1.336
testneg_128	-0.392	-3	0.199	-3	18.794	0.052	0.065	0.032	0.65	-0.5	-0.5	0.793	0.17	0.189	0.227	0.102	0.029	24.96	1.0	None
testneg_129	-0.802	-3	-0.07	-3	10.417	0.049	0.0	0.029	0.82	-0.5	-0.5	0.586	0.739	0.366	0.512	0.189	0.57	20.606	1.0	0.099
testneg_130	0.125	-3	1.187	-3	16.859	0.055	0.019	0.039	0.0	-0.5	-0.5	0.783	0.112	0.239	0.483	0.283	0.487	19.797	1.0	0.521
testneg_131	0.713	-3	3.1	-3	18.99	0.0	0.0	0.0	0.0	-0.5	-0.5	0.768	None	0.262	0.367	None	None	None	1.0	None
testneg_132	1.468	-3	1.254	-3	None	0.044	0.618	0.0	0.069	-0.5	-0.5	0.711	0.744	0.307	0.264	0.01	0.014	35.856	1.5	-0.175
testneg_133	0.234	-3	-0.091	-3	18.333	0.0	0.059	0.006	0.019	-0.5	-0.5	0.17	0.403	0.144	0.708	0.001	0.0	60.837	1.0	-0.914
testneg_134	2.446	-3	-0.163	-3	19.292	0.018	None	0.015	None	-0.5	-0.5	0.324	None	0.762	None	0.026	0.808	None	None	-0.386
testneg_135	-0.026	-3	3.156	0.022	11.751	0.078	0.019	0.022	0.0	-0.5	-0.5	0.501	0.504	0.36	0.491	0.018	0.422	8.811	1.0	None
testneg_136	0.696	-3	2.524	-3	None	0.0	0.032	0.047	0.019	-0.5	-0.5	0.696	0.146	0.222	0.204	0.08	0.845	21.573	1.0	-0.407
testneg_137	1.028	0.024	3.775	-3	11.195	0.091	0.041	0.031	0.02	-0.5	-0.5	0.625	0.749	0.271	0.315	0.086	0.736	32.342	1.0	-1.315
testneg_138	0.198	-3	3.616	-3	19.204	0.099	0.019	0.019	0.0	-0.5	-0.5	0.341	0.144	0.404	0.305	None	None	33.812	1.333	0.458
testneg_139	-0.26	-3	0.085	-3	None	0.012	0.006	0.032	0.0	-0.5	-0.5	0.251	0.187	0.235	0.45	None	None	70.932	1.5	-0.513
testneg_140	0.637	-3	-0.123	-3	18.324	0.006	0.006	0.031	0.006	-0.5	-0.5	0.783	0.459	0.274	0.207	None	0.003	72.5	1.333	0.606
testneg_141	3.193	-3	3.485	-0.846	10.0	0.035	0.081	0.036	0.081	-0.5	-0.5	0.694	0.654	0.193	0.73	0.122	0.095	47.433	1.0	None
testneg_142	0.872	-3	2.176	-3	10.417	0.0	0.025	0.673	0.025	-0.5	-0.5	0.853	0.706	0.18	0.19	0.045	0.572	38.448	1.0	-0.281
testneg_143	3.752	-3	0.015	-3	37.967	0.018	0.075	0.0	0.667	-0.5	-0.5	0.146	None	0.455	0.389	0.001	0.909	39.877	1.0	None
testneg_144	2.275	-3	0.161	-3	None	0.029	0.013	0.006	0.0	-0.5	-0.5	0.544	None	0.239	0.599	None	None	None	1.5	None
testneg_145	1.421	1.421	2.72	-3	9.667	0.041	0.051	0.017	0.006	-0.5	-0.5	0.775	0.296	0.075	0.308	0.0	0.0	None	1.5	None
testneg_146	1.854	-3	2.949	-3	12.697	0.074	0.24	0.013	0.056	-0.5	-0.5	0.591	0.292	0.405	0.453	0.003	0.008	88.931	1.5	-0.407
testneg_147	0.342	-3	-0.05	-3	13.468	0.035	0.0	0.013	0.0	-0.5	-0.5	0.414	0.112	0.552	0.403	0.583	0.753	72.16	1.0	None
testneg_148	0.657	-3	2.582	1.51	19.444	0.019	0.0	0.803	0.028	-0.5	0.31	0.704	0.638	0.062	0.36	0.069	0.164	62.8	1.0	None
testneg_149	1.994	-3	-0.794	-3	32.656	0.034	0.019	0.0	0.0	-0.5	-0.5	0.309	None	0.404	0.765	0.003	0.047	3.012	1.0	0.353
testneg_150	1.762	-3	0.447	0.423	10.0	0.076	0.055	0.083	0.047	-0.5	-0.5	0.785	0.204	0.114	0.462	0.112	0.265	29.486	1.0	None
testneg_151	4.585	-3	2.169	-3	12.791	0.019	0.031	0.066	0.625	-0.5	-0.5	0.704	0.853	0.084	0.274	0.019	0.697	27.251	1.0	-0.639
testneg_152	0.75	-3	1.281	-3	None	0.033	0.006	0.0	0.0	-0.5	-0.5	0.39	0.173	0.32	0.946	0.01	0.022	55.892	1.5	None
testneg_153	-0.261	-3	-0.39	-3	17.903	0.008	0.098	0.0	0.054	-0.5	-0.5	0.144	0.531	0.574	0.453	0.009	0.729	15.913	1.0	-0.154
testneg_154	3.201	-3	3.201	0.511	22.891	0.656	0.0	0.006	0.0	-0.5	-0.5	0.492	None	0.35	0.494	0.003	0.007	64.336	1.0	None
testneg_155	0.045	0.045	3.276	-3	None	0.015	0.006	0.0	0.0	-0.5	-0.5	0.272	0.271	0.098	0.799	0.034	0.017	None	1.333	None
testneg_156	2.007	-3	0.957	-3	None	0.038	0.032	0.067	0.019	-0.5	-0.5	0.783	0.146	0.394	0.204	0.054	0.616	24.828	1.0	0.437
testneg_157	0.153	-3	0.618	-3	22.369	0.036	0.0	0.0	0.0	-0.5	-0.5	0.35	0.169	0.214	0.669	0.072	0.148	None	1.0	-0.428
testneg_158	1.125	-3	0.831	-3	10.0	0.0	0.071	0.013	0.028	-0.5	-0.5	0.783	0.646	0.42	0.226	0.041	0.023	24.403	1.5	-0.935
testneg_159	0.091	-3	-0.05	-3	19.444	0.742	0.089	0.041	0.038	-0.5	-0.5	0.802	0.369	0.23	0.217	0.033	0.002	52.446	1.0	0.015
testneg_160	1.752	-3	0.963	-3	17.778	0.0	0.019	0.727	0.021	-0.5	-0.5	0.837	0.533	0.071	0.228	0.128	0.026	35.5	1.0	-0.323
testneg_161	2.553	-3	2.553	1.451	22.778	0.681	0.0	0.013	0.0	-0.5	-0.5	0.562	0.238	0.439	0.326	0.004	0.0	39.016	1.5	None
