Combination_ID	CADD1	CADD2	CADD3	CADD4	Biol_Dist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	ISPP_XL_B	HIPred_A	HIPred_B	dn_ds_A	dn_ds_B	BP_similarity	MF_similarity	Mentha_dist	KG_dist	Coexpression
OLI053	2.027	-3	1.47	-3	21.095	0.616	0.692	0.014	0.0	-0.5	-0.5	0.473	0.492	0.147	0.186	0.288	0.546	37.886	1.0	5.671
OLI055	1.366	-3	5.252	3.579	None	0.709	0.692	0.025	0.0	-0.5	-0.5	0.146	0.492	0.329	0.186	0.173	0.654	45.135	1.0	2.59
OLI058	3.876	-3	2.65	-3	None	0.709	0.692	0.025	0.0	-0.5	-0.5	0.146	0.492	0.329	0.186	0.173	0.654	45.135	1.0	2.59
OLI062	2.48	-3	3.721	-3	1.111	0.831	0.755	0.006	0.041	-0.5	-0.5	0.415	0.132	0.42	0.356	0.332	0.917	1.337	1.0	4.658
OLI065	4.093	-3	3.721	-3	1.111	0.654	0.755	0.0	0.041	-0.5	-0.5	0.372	0.132	0.363	0.356	0.523	0.951	1.368	1.0	3.202
OLI067	4.825	-3	8.114	7.38	4.722	0.658	0.654	0.0	0.0	-0.5	-0.5	0.498	0.372	0.686	0.363	0.537	0.949	11.117	1.0	-0.175
OLI068	4.32	-3	4.456	-3	None	0.031	0.062	0.764	0.707	-0.5	-0.5	0.632	0.492	0.139	0.274	0.029	0.043	32.791	1.0	-0.238
OLI074	5.269	-3	1.123	-3	30.336	0.013	0.008	0.033	0.0	-0.5	-0.5	0.245	0.17	0.301	0.339	None	0.744	25.928	1.0	3.75
OLI075	4.924	-3	3.202	-3	10.0	0.048	0.019	0.18	0.714	-0.5	-0.5	0.792	0.704	0.132	0.123	0.19	0.041	40.252	1.0	-0.576
OLI077	4.042	4.042	4.042	1.663	23.444	0.07	0.0	0.115	0.013	-0.5	0.704	0.833	0.701	0.04	0.405	0.139	0.98	1.094	1.0	2.252
OLI080	4.334	-0.26	4.334	2.94	1.25	0.659	0.755	0.013	0.041	-0.5	-0.5	0.398	0.132	0.622	0.356	0.18	0.871	8.914	1.0	2.864
OLI090	4.36	-3	4.119	-3	10.833	0.021	0.0	0.01	0.013	-0.5	-0.5	0.523	0.182	0.594	0.58	0.076	0.016	48.492	1.0	0.163
OLI091	3.775	-3	4.036	-3	10.833	0.738	0.046	0.047	0.738	-0.5	-0.5	0.575	None	0.436	0.157	0.03	0.383	26.585	1.0	-0.703
OLI093	1.506	-3	1.392	0.484	10.833	0.0	0.012	0.031	0.727	-0.5	-0.5	0.517	0.123	0.516	0.892	0.018	0.244	None	1.0	None
OLI096	3.675	-3	5.446	-3	1.111	0.028	0.046	0.073	0.674	-0.5	-0.5	0.676	0.809	0.205	0.055	0.598	0.738	10.638	1.0	1.724
OLI097	5.408	3.84	4.291	-3	1.111	0.595	0.831	0.022	0.006	-0.5	-0.5	0.637	0.415	0.224	0.42	0.354	0.95	1.675	1.0	1.007
OLI099	3.818	-3	4.052	-3	1.111	0.085	0.174	0.033	0.018	-0.5	-0.5	0.214	0.519	0.885	0.45	0.862	0.97	1.757	1.0	26.5
OLI100	9.598	4.075	4.068	-3	None	0.739	0.0	0.016	0.0	-0.5	-0.5	0.289	None	0.057	0.44	None	None	None	1.5	1.408
OLI104	4.692	4.692	3.463	-3	1.25	0.759	0.155	0.0	0.09	-0.5	-0.5	0.604	0.542	0.246	0.176	0.395	0.806	1.142	1.0	None
OLI109	3.021	-3	3.949	3.021	None	0.649	0.637	0.006	0.0	-0.5	-0.5	0.123	0.652	1.407	0.412	0.105	0.466	34.105	1.0	-1.336
OLI110	3.021	3.021	3.949	-3	None	0.649	0.637	0.006	0.0	-0.5	-0.5	0.123	0.652	1.407	0.412	0.105	0.466	34.105	1.0	-1.336
OLI111	3.1	-3	8.505	-3	6.909	0.063	0.045	0.0	0.006	-0.5	-0.5	0.704	0.462	0.106	0.343	0.379	0.944	16.994	1.0	None
OLI113	1.718	-3	2.26	-3	4.444	0.016	0.709	0.046	0.03	-0.5	-0.5	0.766	0.697	0.165	0.209	0.415	0.397	8.811	1.0	None
OLI115	2.139	-3	4.141	-3	1.613	0.006	0.705	0.06	0.019	-0.5	-0.5	0.831	0.271	0.276	0.367	0.667	0.971	5.706	1.0	3.265
OLI116	4.834	-3	4.141	-3	1.613	0.006	0.705	0.06	0.019	-0.5	-0.5	0.831	0.271	0.276	0.367	0.667	0.971	5.706	1.0	3.265
OLI117	4.445	-3	2.466	-3	1.613	0.0	0.041	0.058	0.025	-0.5	-0.5	0.711	0.546	0.214	0.321	0.404	0.981	5.5	2.0	3.159
OLI118	4.05	4.05	4.52	2.146	15.679	0.0	0.705	0.048	0.016	0.81	-0.5	0.752	0.577	0.173	0.426	0.012	0.171	27.566	1.0	0.332
OLI119	3.714	-3	3.714	2.972	None	0.008	0.0	0.0	0.049	-0.5	None	0.296	0.784	0.161	0.224	0.011	0.616	58.775	1.0	None
OLI120	4.761	4.761	4.761	4.202	1.25	0.731	0.019	0.013	0.0	-0.5	-0.5	0.543	0.64	0.557	0.284	0.284	0.784	None	1.0	None
OLI121	4.816	-3	4.196	3.611	21.015	0.032	0.731	0.0	0.013	-0.5	-0.5	0.518	0.543	0.143	0.557	0.071	0.989	18.952	1.0	None
OLI122	1.812	-3	3.471	-3	None	0.032	0.278	0.0	0.03	-0.5	-0.5	0.518	0.426	0.143	0.545	0.07	0.978	18.952	1.0	-1.188
OLI123	3.9	3.9	3.9	2.541	11.216	0.088	0.664	0.043	0.013	-0.5	-0.5	0.782	0.635	0.099	0.263	None	0.274	23.594	1.0	1.83
OLI125	2.589	-3	2.916	-3	1.111	0.831	0.654	0.006	0.0	-0.5	-0.5	0.415	0.372	0.42	0.363	0.543	0.957	1.675	1.0	3.666
OLI126	8.099	8.045	6.843	-3	1.111	0.754	0.739	0.028	0.0	-0.5	-0.5	0.628	0.328	0.497	0.332	0.352	0.873	24.135	1.0	5.84
OLI131	2.85	-3	3.909	-3	None	0.016	0.123	0.006	0.006	-0.5	-0.5	0.775	0.476	0.468	0.363	0.633	0.23	62.148	1.0	2.083
OLI133	2.894	-3	3.367	-3	1.111	0.066	0.013	0.034	0.0	-0.5	0.838	0.575	0.605	0.679	0.304	0.277	0.601	36.472	1.0	1.345
OLI134	2.488	-3	4.039	-3	1.111	0.078	0.072	0.123	0.081	-0.5	-0.5	0.432	0.717	0.255	0.316	0.307	0.824	112.936	1.0	7.992
OLI135	3.236	-3	3.024	-3	1.25	0.048	0.072	0.024	0.016	-0.5	-0.5	0.3	0.473	0.291	0.218	0.333	0.949	12.945	1.0	2.864
OLI136	3.236	-3	3.024	2.466	1.25	0.048	0.072	0.024	0.016	-0.5	-0.5	0.3	0.473	0.291	0.218	0.333	0.949	12.945	1.0	2.864
OLI146	3.988	3.988	2.035	-3	1.111	0.595	0.621	0.022	0.027	-0.5	-0.5	0.637	0.54	0.224	0.111	0.328	1.0	2.041	1.0	2.526
OLI147	7.92	1.415	2.889	-3	1.25	0.659	0.755	0.013	0.041	-0.5	-0.5	0.398	0.132	0.622	0.356	0.18	0.871	8.914	1.0	2.864
OLI149	2.987	-3	3.8	-3	4.444	0.082	0.0	0.65	0.012	-0.5	0.725	0.553	0.735	0.411	0.106	0.415	0.863	22.217	1.0	5.755
OLI151	3.91	-3	3.8	-3	4.444	0.046	0.0	0.765	0.012	-0.5	0.725	0.875	0.735	0.085	0.106	0.353	0.876	17.361	1.0	None
OLI152	3.714	-3	1.647	-3	None	0.008	0.0	0.0	0.049	-0.5	None	0.296	0.784	0.161	0.224	0.011	0.616	58.775	1.0	None
OLI153	4.069	-3	4.53	-3	13.086	0.781	0.632	0.03	0.029	-0.5	-0.5	0.736	0.333	0.299	0.173	0.168	0.56	83.04	1.0	0.479
OLI154	5.546	-3	3.447	-3	1.111	0.114	0.066	0.021	0.034	-0.5	-0.5	0.474	0.575	0.726	0.679	0.317	0.627	239.668	1.0	28.273
OLI156	3.447	-3	4.164	-3	1.111	0.066	0.013	0.034	0.0	-0.5	0.838	0.575	0.605	0.679	0.304	0.277	0.601	36.472	1.0	1.345
OLI157	4.271	-3	2.405	-3	1.111	0.114	0.066	0.021	0.034	-0.5	-0.5	0.474	0.575	0.726	0.679	0.317	0.627	239.668	1.0	28.273
OLI159	3.916	3.916	3.663	-3	4.722	0.0	0.106	0.033	0.016	0.697	-0.5	0.786	0.694	0.434	0.234	0.277	0.104	59.295	1.0	None
OLI160	3.244	3.244	3.663	-3	4.722	0.0	0.106	0.033	0.016	0.697	-0.5	0.786	0.694	0.434	0.234	0.277	0.104	59.295	1.0	None
OLI161	3.112	3.112	3.663	-3	4.722	0.0	0.106	0.033	0.016	0.697	-0.5	0.786	0.694	0.434	0.234	0.277	0.104	59.295	1.0	None
OLI162	3.067	3.067	3.94	-3	4.722	0.0	0.106	0.033	0.016	0.697	-0.5	0.786	0.694	0.434	0.234	0.277	0.104	59.295	1.0	None
OLI163	3.117	-3	3.94	-3	4.722	0.0	0.106	0.033	0.016	0.697	-0.5	0.786	0.694	0.434	0.234	0.277	0.104	59.295	1.0	None
OLI164	3.796	3.796	3.663	-3	4.722	0.0	0.106	0.033	0.016	0.697	-0.5	0.786	0.694	0.434	0.234	0.277	0.104	59.295	1.0	None
OLI165	3.332	-3	4.061	-3	1.111	0.049	0.008	0.019	0.0	-0.5	-0.5	0.144	0.296	0.306	0.161	0.42	0.28	111.296	1.0	None
OLI166	3.806	2.552	3.684	-3	1.111	0.75	0.676	0.009	0.031	-0.5	-0.5	0.216	0.653	0.764	0.252	0.576	0.654	55.265	1.0	4.806
OLI168	1.671	-3	4.07	-3	2.778	0.062	0.055	0.765	0.708	-0.5	-0.5	0.778	0.74	0.039	0.081	0.577	0.9	102.55	1.0	4.658
OLI169	3.898	-3	1.128	-3	18.889	0.814	0.089	0.016	0.05	-0.5	-0.5	0.3	0.229	0.451	0.302	0.085	0.34	55.721	1.0	-0.091
OLI171	3.84	-3	7.089	4.668	4.722	0.658	0.654	0.0	0.0	-0.5	-0.5	0.498	0.372	0.686	0.363	0.537	0.949	11.117	1.0	-0.175
OLI172	0.476	-3	4.668	0.476	4.722	0.664	0.654	0.036	0.0	-0.5	-0.5	0.428	0.372	1.091	0.363	0.315	0.956	26.352	1.0	1.556
OLI174	4.25	4.25	1.958	-3	4.722	0.654	0.659	0.0	0.013	-0.5	-0.5	0.372	0.398	0.363	0.622	0.144	0.941	8.666	1.0	1.556
OLI178	2.552	-3	3.71	3.684	1.111	0.75	0.676	0.009	0.031	-0.5	-0.5	0.216	0.653	0.764	0.252	0.576	0.654	55.265	1.0	4.806
OLI179	2.552	-3	3.684	-3	1.111	0.75	0.676	0.009	0.031	-0.5	-0.5	0.216	0.653	0.764	0.252	0.576	0.654	55.265	1.0	4.806
OLI182	2.948	-3	3.587	-3	29.981	0.096	0.035	0.013	0.0	-0.5	-0.5	0.595	0.216	0.183	0.513	0.033	0.008	35.749	1.0	-0.175
OLI183	3.129	-3	1.577	-3	11.25	0.038	0.006	0.116	0.636	-0.5	-0.5	0.711	0.268	0.13	0.285	0.361	0.712	46.429	1.0	-1.42
OLI185	2.54	-3	4.968	-3	17.368	0.031	0.634	0.069	0.034	-0.5	-0.5	0.655	0.146	0.113	0.622	0.012	0.008	48.265	1.0	None
OLI186	3.299	-3	3.539	-3	1.25	0.711	0.164	0.013	0.023	-0.5	-0.5	0.261	0.147	0.54	0.545	0.255	0.062	48.477	1.0	None
OLI187	-0.12	-3	3.539	-0.12	1.25	0.711	0.164	0.013	0.023	-0.5	-0.5	0.261	0.147	0.54	0.545	0.255	0.062	48.477	1.0	None
OLI188	2.514	-3	6.236	-3	5.367	0.719	0.073	0.006	0.022	-0.5	-0.5	0.562	0.438	0.583	0.473	0.322	0.557	14.21	1.0	1.935
OLI189	2.099	-3	5.243	-3	23.444	0.07	0.0	0.115	0.013	-0.5	0.704	0.833	0.701	0.04	0.405	0.139	0.98	1.094	1.0	2.252
OLI190	4.132	-3	2.521	-3	10.0	0.07	0.035	0.115	0.0	-0.5	-0.5	0.833	0.79	0.04	0.155	0.053	0.978	15.632	1.0	1.26
OLI191	6.4	-3	7.67	1.935	None	0.0	0.032	0.0	0.013	-0.5	-0.5	0.153	None	0.871	0.869	0.193	None	None	1.0	3.033
OLI192	0.152	-3	4.861	-3	1.25	0.048	0.072	0.024	0.016	-0.5	-0.5	0.3	0.473	0.291	0.218	0.333	0.949	12.945	1.0	2.864
OLI195	1.913	-3	3.004	2.784	4.722	0.048	0.049	0.18	0.019	-0.5	-0.5	0.792	0.144	0.132	0.306	0.118	0.03	35.954	1.0	0.163
OLI197	4.874	-3	3.432	-3	1.25	0.048	0.053	0.18	0.041	-0.5	-0.5	0.792	0.798	0.132	0.224	0.412	0.028	2.247	1.0	None
OLI198	7.792	-3	4.259	-3	4.722	0.048	0.049	0.18	0.019	-0.5	-0.5	0.792	0.144	0.132	0.306	0.118	0.03	35.954	1.0	0.163
OLI199	2.927	-3	4.259	3.004	4.722	0.048	0.049	0.18	0.019	-0.5	-0.5	0.792	0.144	0.132	0.306	0.118	0.03	35.954	1.0	0.163
OLI200	4.059	-3	7.961	4.059	1.773	0.047	0.092	0.038	0.006	-0.5	-0.5	0.338	0.52	0.225	0.201	0.363	0.994	1.715	1.0	4.215
OLI202	1.963	-3	3.431	-3	5.0	0.038	0.028	0.116	0.073	-0.5	-0.5	0.711	0.676	0.13	0.205	0.36	0.626	10.297	1.0	1.239
OLI203	4.187	-3	4.067	-3	1.25	0.02	0.052	0.742	0.745	-0.5	-0.5	0.819	0.835	0.044	0.119	0.44	0.86	5.181	1.0	13.416
OLI205	3.714	-3	3.714	1.647	None	0.008	0.0	0.0	0.049	-0.5	None	0.296	0.784	0.161	0.224	0.011	0.616	58.775	1.0	None
OLI206	3.714	-3	5.236	3.714	None	0.008	0.0	0.0	0.049	-0.5	None	0.296	0.784	0.161	0.224	0.011	0.616	58.775	1.0	None
OLI209	0.527	-3	4.272	-3	1.25	0.718	0.673	0.016	0.009	-0.5	-0.5	0.831	0.564	0.256	0.294	0.414	0.599	1.368	1.0	0.901
OLI210	4.928	-3	3.995	-3	6.909	0.063	0.045	0.0	0.006	-0.5	-0.5	0.704	0.462	0.106	0.343	0.379	0.944	16.994	1.0	None
OLI211	0.599	-3	7.894	-3	1.736	0.617	0.65	0.006	0.013	-0.5	-0.5	0.683	0.485	0.222	0.648	0.087	0.966	4.762	1.0	1.302
OLI214	3.806	-3	-0.038	-3	1.25	0.617	0.661	0.006	0.063	-0.5	-0.5	0.683	0.706	0.222	0.488	0.177	0.942	12.802	1.0	1.471
OLI218	5.099	-3	3.695	-3	1.25	0.046	0.039	0.674	0.604	-0.5	-0.5	0.809	0.43	0.055	0.462	0.75	0.719	25.666	1.0	None
OLI220	1.881	-3	1.881	-0.73	71.369	0.778	0.143	0.053	0.0	-0.5	-0.5	0.251	0.3	0.326	0.442	0.411	0.48	63.866	1.0	3.898
OLI221	2.404	-3	2.22	-3	10.0	0.057	0.735	0.703	0.0	-0.5	-0.5	0.712	0.466	0.366	0.501	0.061	0.629	33.892	1.0	-0.555
OLI222	2.741	-3	4.148	-3	1.25	0.124	0.039	0.031	0.013	-0.5	-0.5	0.144	0.553	0.588	0.146	0.69	1.0	None	1.0	2.379
OLI223	2.381	-3	4.148	-3	1.25	0.124	0.039	0.031	0.013	-0.5	-0.5	0.144	0.553	0.588	0.146	0.69	1.0	None	1.0	2.379
OLI225	3.84	-3	8.114	-3	4.722	0.658	0.654	0.0	0.0	-0.5	-0.5	0.498	0.372	0.686	0.363	0.537	0.949	11.117	1.0	-0.175
OLI227	3.186	3.186	4.305	3.186	9.803	0.575	0.73	0.036	0.0	-0.5	-0.5	0.589	0.206	0.038	0.232	0.002	0.021	14.499	1.0	1.176
OLI228	2.11	-3	4.245	-3	None	0.673	0.734	0.009	0.036	-0.5	-0.5	0.564	0.727	0.294	0.339	0.614	0.6	1.0	1.0	0.711
OLI229	2.075	-3	4.041	-3	None	0.673	0.734	0.009	0.036	-0.5	-0.5	0.564	0.727	0.294	0.339	0.614	0.6	1.0	1.0	0.711
OLI239	4.078	-3	4.265	-3	1.25	0.0	0.0	0.727	0.646	-0.5	-0.5	0.792	0.806	0.346	0.134	0.395	0.928	25.564	1.0	None
OLI240	3.518	-3	4.36	-3	1.25	0.035	0.066	0.029	0.754	-0.5	-0.5	0.626	0.584	0.176	0.167	0.327	0.954	9.615	1.0	13.458
OLI241	2.58	-3	5.579	-3	20.0	0.11	0.765	0.031	0.018	-0.5	-0.5	0.655	0.353	0.31	0.324	0.225	0.061	None	1.0	0.669
OLI242	3.076	-3	3.932	-3	20.0	0.11	0.765	0.031	0.018	-0.5	-0.5	0.655	0.353	0.31	0.324	0.225	0.061	None	1.0	0.669
OLI243	3.774	-3	4.959	-3	1.111	0.715	0.667	0.036	0.0	-0.5	-0.5	0.481	0.23	0.807	0.756	0.232	0.725	13.525	1.0	5.84
OLI244	3.842	-3	4.55	-3	None	0.739	0.046	0.071	0.0	-0.5	-0.5	0.378	0.289	0.304	0.361	0.333	0.976	38.233	1.0	None
OLI249	4.054	-3	4.35	-3	10.833	0.121	0.032	0.019	0.751	-0.5	-0.5	0.565	None	0.278	0.109	0.047	0.193	29.809	1.0	-0.513
OLI250	3.781	-3	4.125	-3	1.25	0.035	0.066	0.029	0.754	-0.5	-0.5	0.626	0.584	0.176	0.167	0.327	0.954	9.615	1.0	13.458
OLI251	4.551	-3	4.861	-3	10.833	0.03	0.072	0.758	0.016	-0.5	-0.5	0.825	0.473	0.245	0.218	0.024	0.687	34.685	1.0	None
OLI253	4.472	-3	3.646	-3	1.25	0.0	0.032	0.867	0.751	-0.5	-0.5	0.875	None	0.346	0.109	0.405	0.868	1.425	1.0	0.922
OLI254	4.504	-3	4.116	-3	None	0.278	0.019	0.03	0.0	-0.5	-0.5	0.426	0.64	0.545	0.284	0.362	0.434	None	1.0	-1.315
OLI258	3.257	-3	2.337	-3	13.418	0.047	0.0	0.176	0.779	-0.5	-0.5	0.637	0.685	0.197	0.191	0.035	0.631	13.662	1.0	3.56
OLI259	5.746	-3	2.063	-3	15.787	0.104	0.739	0.065	0.016	-0.5	-0.5	0.543	0.289	0.453	0.057	0.41	0.012	92.012	1.0	0.332
OLI265	0.665	-3	3.879	-3	None	0.104	None	0.065	None	-0.5	-0.5	0.543	None	0.453	None	None	None	None	None	None
OLI266	3.482	-3	4.154	-3	1.235	0.104	0.155	0.065	0.09	-0.5	-0.5	0.543	0.542	0.453	0.176	0.651	0.505	73.918	1.0	None
OLI269	3.677	-3	3.314	-3	21.389	0.0	0.054	0.026	0.006	-0.5	-0.5	0.647	0.216	0.768	0.522	0.011	0.83	32.127	1.0	0.754
OLI274	3.401	-3	0.413	-3	14.629	0.039	0.041	0.619	0.643	-0.5	-0.5	0.71	0.146	0.306	0.791	0.032	0.768	25.952	1.0	-1.315
OLI290	2.956	-3	4.017	-3	18.333	0.013	0.704	0.03	0.073	-0.5	-0.5	0.655	0.525	0.249	0.163	0.027	0.693	18.36	1.0	-0.091
OLI291	4.081	-3	2.198	-3	19.444	0.033	0.111	0.747	0.01	-0.5	-0.5	0.652	0.229	0.119	0.484	0.179	0.698	45.365	1.0	None
OLI292	4.329	-3	3.282	-3	17.218	0.055	0.013	0.0	0.047	-0.5	-0.5	0.558	0.698	0.146	0.081	0.079	0.021	42.378	1.0	-0.977
OLI293	3.797	-3	3.76	-3	10.833	0.013	0.013	0.019	0.047	-0.5	-0.5	0.639	0.698	0.209	0.081	0.21	0.726	11.958	1.0	0.733
OLI294	4.132	-3	2.753	-3	17.218	0.055	0.013	0.0	0.047	-0.5	-0.5	0.558	0.698	0.146	0.081	0.079	0.021	42.378	1.0	-0.977
OLI295	4.125	-3	4.244	-3	21.006	0.6	0.013	0.008	0.047	-0.5	-0.5	0.54	0.698	0.219	0.081	0.064	0.804	41.829	1.0	1.133
OLI297	2.296	-3	1.741	-3	None	0.0	0.015	0.727	0.009	-0.5	-0.5	0.837	0.765	0.071	0.348	0.021	0.0	37.119	1.0	-0.027
OLI298	3.501	-3	4.243	-3	4.722	0.027	0.013	0.006	0.047	0.864	-0.5	0.583	0.698	0.718	0.081	0.038	0.859	20.098	1.0	1.345
OLI302	4.536	4.536	4.536	3.374	12.585	0.599	0.078	0.009	0.022	-0.5	-0.5	0.694	0.501	0.295	0.36	0.128	0.754	14.392	1.0	0.036
OLI303	2.54	-3	5.258	-3	1.111	0.031	0.095	0.069	0.015	-0.5	-0.5	0.655	0.699	0.113	0.134	0.441	0.67	8.168	1.0	None
OLI304	3.845	-3	3.463	-3	1.111	0.031	0.095	0.069	0.015	-0.5	-0.5	0.655	0.699	0.113	0.134	0.441	0.67	8.168	1.0	None
OLI305	2.54	-3	4.225	-3	1.111	0.031	0.095	0.069	0.015	-0.5	-0.5	0.655	0.699	0.113	0.134	0.441	0.67	8.168	1.0	None
OLI306	2.335	-3	7.998	-3	1.111	0.031	0.095	0.069	0.015	-0.5	-0.5	0.655	0.699	0.113	0.134	0.441	0.67	8.168	1.0	None
OLI307	3.882	-3	3.983	-3	1.111	0.031	0.095	0.069	0.015	-0.5	-0.5	0.655	0.699	0.113	0.134	0.441	0.67	8.168	1.0	None
OLI309	1.007	-3	3.885	-3	1.111	0.031	0.095	0.069	0.015	-0.5	-0.5	0.655	0.699	0.113	0.134	0.441	0.67	8.168	1.0	None
OLI312	1.279	-3	4.193	-3	20.139	0.07	0.095	0.009	0.015	-0.5	-0.5	0.172	0.699	0.528	0.134	0.071	0.784	40.444	1.0	-1.441
