Combination_ID	CADD1	CADD2	CADD3	CADD4	BiolDist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	HIPred_A	HIPred_B	dn_ds_A	BPO_sim	KG_dist
OLI097	5.51	3.339	4.167	-3	1.012	0.595	0.831	0.022	0.006	-0.5	0.637	0.415	0.224	0.343	1.0
OLI099	4.561	-3	3.862	-3	NaN	0.085	0.174	0.033	0.018	-0.5	0.214	0.519	0.885	0.883	1.0
OLI100	9.359	4.569	4.423	-3	NaN	0.739	0.0	0.016	0.0	-0.5	0.289	NaN	0.057	NaN	1.5
OLI104	3.966	-3	4.573	4.573	1.035	0.155	0.759	0.09	0.0	-0.5	0.542	0.604	0.176	0.39	1.0
OLI109	3.644	-3	4.044	4.044	21.898	0.649	0.637	0.006	0.0	-0.5	0.123	0.652	1.407	0.094	1.0
OLI110	3.644	3.644	4.044	-3	21.898	0.649	0.637	0.006	0.0	-0.5	0.123	0.652	1.407	0.094	1.0
OLI111	2.824	-3	8.215	8.215	2.717	0.063	0.045	0.0	0.006	-0.5	0.704	0.462	0.106	0.376	1.0
OLI113	1.851	-3	2.843	-3	6.405	0.016	0.709	0.046	0.03	-0.5	0.766	0.697	0.165	0.42	1.0
OLI115	1.943	-3	4.163	-3	1.003	0.006	0.705	0.06	0.019	-0.5	0.831	0.271	0.276	0.977	1.0
OLI116	5.061	-3	4.163	-3	1.003	0.006	0.705	0.06	0.019	-0.5	0.831	0.271	0.276	0.977	1.0
OLI117	3.472	-3	2.487	-3	1.003	0.0	0.041	0.058	0.025	-0.5	0.711	0.546	0.214	0.973	1.0
OLI118	4.022	4.022	4.411	2.665	6.995	0.0	0.705	0.048	0.016	0.81	0.752	0.577	0.173	0.013	1.5
OLI119	4.055	-3	2.752	2.752	3.175	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.059	1.5
OLI120	4.14	-3	4.455	4.455	1.208	0.019	0.731	0.0	0.013	-0.5	0.64	0.543	0.284	0.309	1.0
OLI121	4.622	-3	3.411	3.34	1.208	0.019	0.731	0.0	0.013	-0.5	0.64	0.543	0.284	0.309	1.0
OLI122	4.721	-3	3.174	-3	23.02	0.032	0.278	0.0	0.03	-0.5	0.518	0.426	0.143	0.069	1.0
OLI123	2.492	2.492	3.682	3.682	NaN	0.664	NaN	0.013	NaN	-0.5	0.635	NaN	0.263	NaN	NaN
OLI125	2.587	-3	2.658	-3	1.004	0.831	0.654	0.006	0.0	-0.5	0.415	0.372	0.42	0.552	1.0
OLI126	8.197	7.465	6.576	-3	NaN	0.754	0.739	0.028	0.0	-0.5	0.628	0.328	0.497	0.541	1.0
OLI131	3.054	-3	4.15	-3	12.772	0.016	0.682	0.006	0.016	-0.5	0.775	0.55	0.468	0.06	1.5
OLI133	2.856	-3	3.847	-3	1.11	0.066	0.013	0.034	0.0	-0.5	0.575	0.605	0.679	0.345	1.0
OLI134	3.948	-3	2.659	-3	1.078	0.072	0.078	0.081	0.123	-0.5	0.717	0.432	0.316	0.559	1.0
OLI135	3.381	-3	4.187	-3	1.372	0.048	0.072	0.024	0.016	-0.5	0.3	0.473	0.291	0.313	1.0
OLI136	3.381	-3	4.187	2.324	1.372	0.048	0.072	0.024	0.016	-0.5	0.3	0.473	0.291	0.313	1.0
OLI146	3.979	3.979	2.324	-3	NaN	0.595	NaN	0.022	NaN	-0.5	0.637	NaN	0.224	NaN	NaN
OLI147	3.138	-3	7.25	2.186	4.443	0.755	0.659	0.041	0.013	-0.5	0.132	0.398	0.356	0.195	1.0
OLI149	2.902	-3	3.881	-3	11.291	0.082	0.0	0.65	0.012	-0.5	0.553	0.735	0.411	0.408	1.0
OLI151	3.881	-3	3.907	-3	5.44	0.0	0.046	0.012	0.765	0.725	0.735	0.875	0.106	0.352	1.0
OLI152	4.055	-3	1.984	-3	3.175	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.059	1.5
OLI153	3.844	-3	3.762	-3	NaN	0.781	NaN	0.03	NaN	-0.5	0.736	NaN	0.299	NaN	NaN
OLI154	5.401	-3	3.598	-3	1.073	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.468	1.0
OLI156	3.598	-3	3.963	-3	1.11	0.066	0.013	0.034	0.0	-0.5	0.575	0.605	0.679	0.345	1.0
OLI157	4.022	-3	2.826	-3	1.073	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.468	1.0
OLI159	4.005	4.005	3.527	-3	23.563	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.261	1.0
OLI160	3.269	3.269	3.527	-3	23.563	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.261	1.0
OLI161	1.333	1.333	3.527	-3	23.563	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.261	1.0
OLI162	2.641	2.641	4.177	-3	23.563	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.261	1.0
OLI163	3.025	-3	4.177	-3	23.563	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.261	1.0
OLI164	3.854	3.854	3.527	-3	23.563	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.261	1.0
OLI165	4.336	-3	3.493	-3	9.106	0.008	0.049	0.0	0.019	-0.5	0.296	0.144	0.161	0.684	1.0
OLI166	3.766	2.666	3.976	-3	1.006	0.75	0.676	0.009	0.031	-0.5	0.216	0.653	0.764	0.717	1.0
OLI168	1.584	-3	3.965	-3	1.852	0.062	0.055	0.765	0.708	-0.5	0.778	0.74	0.039	0.576	1.0
OLI169	4.225	-3	1.237	-3	3.774	0.814	0.089	0.016	0.05	-0.5	0.3	0.229	0.451	0.074	1.5
OLI171	3.566	-3	7.167	4.289	2.07	0.658	0.654	0.0	0.0	-0.5	0.498	0.372	0.686	0.648	1.0
OLI172	-0.213	-3	4.289	4.289	23.778	0.0	0.654	0.008	0.0	-0.5	0.639	0.372	0.186	0.123	1.0
OLI174	4.178	4.178	2.16	-3	4.433	0.654	0.659	0.0	0.013	-0.5	0.372	0.398	0.363	0.131	1.0
OLI178	2.666	-3	4.032	3.976	1.006	0.75	0.676	0.009	0.031	-0.5	0.216	0.653	0.764	0.717	1.0
OLI179	2.666	-3	3.976	-3	1.006	0.75	0.676	0.009	0.031	-0.5	0.216	0.653	0.764	0.717	1.0
OLI182	2.569	-3	4.044	-3	23.588	0.096	0.035	0.013	0.0	-0.5	0.595	0.216	0.183	0.057	1.5
OLI183	1.807	-3	3.656	-3	1.389	0.006	0.038	0.636	0.116	-0.5	0.268	0.711	0.285	0.351	1.0
OLI185	2.707	-3	4.674	-3	14.979	0.031	0.634	0.069	0.034	-0.5	0.655	0.146	0.113	0.028	1.0
OLI186	3.695	-3	3.793	-3	13.733	0.711	0.164	0.013	0.023	-0.5	0.261	0.147	0.54	0.299	1.0
OLI187	-0.123	-3	3.793	3.793	13.733	0.711	0.164	0.013	0.023	-0.5	0.261	0.147	0.54	0.299	1.0
OLI188	2.537	-3	6.175	-3	3.257	0.719	0.073	0.006	0.022	-0.5	0.562	0.438	0.583	0.38	1.0
OLI189	2.318	-3	2.469	2.469	1.01	0.07	0.0	0.115	0.013	-0.5	0.833	0.701	0.04	0.188	1.0
OLI190	4.077	-3	2.453	-3	11.545	0.07	0.035	0.115	0.0	-0.5	0.833	0.79	0.04	0.047	1.0
OLI191	5.834	-3	7.718	2.415	15.771	0.0	0.032	0.0	0.013	-0.5	0.153	NaN	0.871	0.191	1.0
OLI192	0.829	-3	4.559	-3	1.372	0.048	0.072	0.024	0.016	-0.5	0.3	0.473	0.291	0.313	1.0
OLI195	2.09	-3	3.255	2.441	11.59	0.048	0.049	0.18	0.019	-0.5	0.792	0.144	0.132	0.094	1.0
OLI197	4.583	-3	3.538	-3	1.018	0.048	0.053	0.18	0.041	-0.5	0.792	0.798	0.132	0.487	1.0
OLI198	7.207	-3	3.993	-3	11.59	0.048	0.049	0.18	0.019	-0.5	0.792	0.144	0.132	0.094	1.0
OLI199	2.337	-3	3.993	3.255	11.59	0.048	0.049	0.18	0.019	-0.5	0.792	0.144	0.132	0.094	1.0
OLI200	4.29	-3	8.13	8.13	5.035	0.047	0.092	0.038	0.006	-0.5	0.338	0.52	0.225	0.488	1.0
OLI202	3.886	-3	1.674	-3	4.143	0.028	0.038	0.073	0.116	-0.5	0.676	0.711	0.205	0.419	1.0
OLI203	4.34	-3	3.421	-3	4.202	0.02	0.052	0.742	0.745	-0.5	0.819	0.835	0.044	0.44	1.0
OLI205	4.055	-3	1.984	1.984	3.175	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.059	1.5
OLI206	4.055	-3	6.066	6.066	3.175	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.059	1.5
OLI209	1.157	-3	4.191	-3	1.033	0.718	0.673	0.016	0.009	-0.5	0.831	0.564	0.256	0.409	1.0
OLI210	4.778	-3	3.929	-3	2.717	0.063	0.045	0.0	0.006	-0.5	0.704	0.462	0.106	0.376	1.0
OLI211	1.618	-3	8.092	8.092	5.752	0.617	0.65	0.006	0.013	-0.5	0.683	0.485	0.222	0.083	1.0
OLI214	4.167	-3	0.639	-3	1.493	0.617	0.661	0.006	0.063	-0.5	0.683	0.706	0.222	0.219	1.0
OLI218	3.412	-3	3.926	-3	1.052	0.046	0.039	0.674	0.604	-0.5	0.809	0.43	0.055	0.757	1.0
OLI220	1.553	-3	0.345	0.345	22.77	0.778	0.143	0.053	0.0	-0.5	0.251	0.3	0.326	0.441	1.0
OLI221	2.078	-3	2.424	-3	25.432	0.057	0.735	0.703	0.0	-0.5	0.712	0.466	0.366	0.042	1.0
OLI222	2.937	-3	4.243	-3	1.11	0.124	0.039	0.031	0.013	-0.5	0.144	0.553	0.588	0.625	1.0
OLI223	2.977	-3	4.243	-3	1.11	0.124	0.039	0.031	0.013	-0.5	0.144	0.553	0.588	0.625	1.0
OLI225	3.566	-3	7.813	7.813	2.07	0.658	0.654	0.0	0.0	-0.5	0.498	0.372	0.686	0.648	1.0
OLI227	3.06	3.06	4.374	4.374	15.487	0.575	0.73	0.036	0.0	-0.5	0.589	0.206	0.038	0.002	2.0
OLI228	2.51	-3	4.067	-3	1.004	0.673	0.734	0.009	0.036	-0.5	0.564	0.727	0.294	0.617	1.0
OLI229	1.695	-3	4.196	-3	1.004	0.673	0.734	0.009	0.036	-0.5	0.564	0.727	0.294	0.617	1.0
OLI239	1.44	-3	4.009	-3	NaN	0.0	NaN	0.727	NaN	-0.5	0.792	NaN	0.346	NaN	NaN
OLI240	3.623	-3	4.181	-3	1.006	0.035	0.066	0.029	0.754	-0.5	0.626	0.584	0.176	0.61	1.0
OLI241	2.883	-3	5.373	-3	NaN	0.11	0.765	0.031	0.018	-0.5	0.655	0.353	0.31	0.215	1.0
OLI242	3.303	-3	3.887	-3	NaN	0.11	0.765	0.031	0.018	-0.5	0.655	0.353	0.31	0.215	1.0
OLI243	3.767	-3	4.647	-3	1.171	0.715	0.667	0.036	0.0	-0.5	0.481	0.23	0.807	0.37	1.0
OLI244	5.713	5.713	3.67	-3	19.415	0.046	0.739	0.0	0.071	-0.5	0.289	0.378	0.361	0.555	1.0
OLI249	4.204	-3	3.915	-3	NaN	0.121	0.032	0.019	0.751	-0.5	0.565	NaN	0.278	0.046	1.5
OLI250	3.959	-3	4.52	-3	1.006	0.035	0.066	0.029	0.754	-0.5	0.626	0.584	0.176	0.61	1.0
OLI251	4.402	-3	4.559	-3	10.997	0.03	0.072	0.758	0.016	-0.5	0.825	0.473	0.245	0.025	2.0
OLI253	3.128	-3	4.675	-3	NaN	0.032	NaN	0.751	NaN	-0.5	NaN	NaN	0.109	NaN	NaN
OLI254	3.841	-3	5.292	-3	16.247	0.031	0.278	0.0	0.03	-0.5	0.352	0.426	0.246	0.018	1.5
OLI258	2.998	-3	2.417	-3	11.407	0.047	0.0	0.176	0.779	-0.5	0.637	0.685	0.197	0.048	1.0
OLI259	3.117	-3	5.392	-3	1.096	0.739	0.104	0.016	0.065	-0.5	0.289	0.543	0.057	0.409	1.0
OLI265	0.538	-3	3.232	-3	NaN	0.104	NaN	0.065	NaN	-0.5	0.543	NaN	0.453	NaN	NaN
OLI266	3.93	-3	2.069	-3	1.005	0.155	0.104	0.09	0.065	-0.5	0.542	0.543	0.176	0.589	1.0
OLI269	4.395	-3	3.582	-3	11.252	0.0	0.054	0.026	0.006	-0.5	0.647	0.216	NaN	0.05	1.0
OLI274	3.355	-3	0.935	-3	13.235	0.039	0.041	0.619	0.643	-0.5	0.71	0.146	0.306	0.048	1.0
OLI290	2.969	-3	4.202	-3	19.055	0.013	0.704	0.03	0.073	-0.5	0.655	0.525	0.249	0.003	2.0
OLI291	4.257	-3	3.072	-3	NaN	0.033	0.111	0.747	0.01	-0.5	0.652	0.229	0.119	0.222	2.0
OLI292	4.131	-3	3.199	-3	20.817	0.055	0.013	0.0	0.047	-0.5	0.558	0.698	0.146	0.076	2.0
OLI293	3.875	-3	3.866	-3	11.797	0.013	0.013	0.019	0.047	-0.5	0.639	0.698	0.209	0.214	1.0
OLI294	3.675	-3	2.74	-3	20.817	0.055	0.013	0.0	0.047	-0.5	0.558	0.698	0.146	0.076	2.0
OLI295	4.138	-3	4.13	-3	19.812	0.6	0.013	0.008	0.047	-0.5	0.54	0.698	0.219	0.066	1.0
OLI297	2.637	-3	3.065	-3	28.275	0.0	0.015	0.727	0.009	-0.5	0.837	0.765	NaN	0.099	1.5
OLI298	3.14	-3	4.073	-3	20.963	0.027	0.013	0.006	0.047	0.864	0.583	0.698	0.718	0.053	1.0
OLI302	4.709	4.709	3.337	3.337	9.705	0.599	0.078	0.009	0.022	-0.5	0.694	0.501	0.295	0.128	1.0
OLI303	2.707	-3	4.729	-3	1.009	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.437	1.0
OLI304	3.948	-3	3.447	-3	1.009	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.437	1.0
OLI305	2.707	-3	4.302	-3	1.009	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.437	1.0
OLI306	2.68	-3	7.506	-3	1.009	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.437	1.0
OLI307	4.451	-3	4.017	-3	1.009	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.437	1.0
OLI309	0.225	-3	3.861	-3	1.009	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.437	1.0
OLI312	0.754	-3	3.822	-3	23.674	0.07	0.095	0.009	0.015	-0.5	0.172	0.699	0.528	NaN	2.0
OLI315	2.707	-3	6.697	-3	NaN	0.031	0.0	0.069	0.0	-0.5	0.655	0.722	0.113	0.365	1.0
OLI317	3.866	-3	3.663	-3	NaN	0.075	0.765	0.733	0.018	-0.5	0.736	0.353	NaN	0.021	1.0
OLI319	0.624	-3	5.075	-3	1.073	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.468	1.0
OLI320	3.005	-3	1.785	-3	1.006	0.689	0.672	0.04	0.006	-0.5	0.708	0.661	0.404	0.035	1.0
OLI321	1.054	-3	4.389	2.037	1.005	0.728	0.672	0.054	0.006	-0.5	0.723	0.661	0.269	0.264	1.0
OLI326	4.067	3.19	2.673	-3	1.002	0.091	0.107	0.761	0.666	-0.5	0.639	0.683	0.19	0.53	1.0
OLI327	4.067	-3	2.673	-3	1.002	0.091	0.107	0.761	0.666	-0.5	0.639	0.683	0.19	0.53	1.0
OLI356	7.532	-3	3.38	-3	2.169	0.048	0.029	0.18	0.0	-0.5	0.792	0.619	0.132	0.135	1.0
OLI362	4.319	-3	3.345	-3	4.145	0.028	0.046	0.073	0.674	-0.5	0.676	0.809	0.205	0.703	1.0
OLI365	4.389	-3	3.938	-3	2.169	0.048	0.029	0.18	0.0	-0.5	0.792	0.619	0.132	0.135	1.0
OLI368	4.59	-3	4.628	-3	9.564	0.048	0.044	0.18	0.016	-0.5	0.792	0.825	0.132	0.194	1.0
OLI369	1.832	-3	4.111	-3	9.947	0.044	0.083	0.016	0.006	-0.5	0.825	0.525	0.04	0.33	1.0
OLI370	3.676	-3	4.111	-3	9.947	0.044	0.083	0.016	0.006	-0.5	0.825	0.525	0.04	0.33	1.0
OLI371	3.581	-3	4.111	-3	4.615	0.048	0.083	0.18	0.006	-0.5	0.792	0.525	0.132	0.068	2.0
OLI372	4.008	-3	2.269	-3	19.17	0.048	0.025	0.18	0.006	-0.5	0.792	0.331	0.132	0.064	2.0
OLI376	3.494	-3	5.209	-3	1.073	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.468	1.0
OLI377	3.593	-3	4.15	-3	1.073	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.468	1.0
OLI378	1.55	-3	4.09	-3	1.073	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.468	1.0
OLI379	1.964	-3	5.104	-3	1.073	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.468	1.0
OLI380	4.336	-3	4.022	-3	1.073	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.468	1.0
OLI381	6.86	-3	4.252	-3	1.073	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.468	1.0
OLI383	5.126	-3	3.782	-3	1.089	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.762	1.0
OLI384	3.235	-3	3.991	-3	1.089	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.762	1.0
OLI385	6.115	-3	3.782	3.782	1.089	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.762	1.0
OLI386	3.693	1.994	4.099	-3	1.089	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.762	1.0
OLI387	3.693	-3	4.099	-3	1.089	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.762	1.0
OLI388	1.994	-3	4.099	4.099	1.089	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.762	1.0
OLI391	6.19	-3	2.842	-3	1.025	0.048	0.0	0.18	0.049	-0.5	0.792	0.784	0.132	0.232	1.0
OLI393	1.303	-3	4.111	-3	20.426	0.564	0.083	0.0	0.006	-0.5	0.455	0.525	NaN	0.029	1.5
OLI394	3.754	-3	4.275	-3	NaN	0.727	0.057	0.012	0.046	-0.5	0.153	0.728	0.718	0.011	1.5
OLI396	3.709	-3	0.159	-3	1.145	0.008	0.013	0.0	0.006	-0.5	0.296	0.241	0.161	0.377	1.0
OLI397	4.326	-3	1.704	-3	1.018	0.048	0.053	0.18	0.041	-0.5	0.792	0.798	0.132	0.487	1.0
OLI398	4.03	4.03	4.931	-3	5.525	0.778	0.03	0.053	0.758	-0.5	0.251	0.825	0.326	0.033	1.0
OLI399	4.03	-3	4.931	-3	5.525	0.778	0.03	0.053	0.758	-0.5	0.251	0.825	0.326	0.033	1.0
OLI400	4.101	-3	3.119	-3	1.639	0.019	0.115	0.057	0.717	-0.5	0.733	0.738	0.083	0.348	1.0
OLI404	3.0	-3	3.487	-3	1.898	0.006	0.052	0.629	0.045	-0.5	0.783	0.596	0.215	0.138	1.0
OLI405	3.007	3.007	2.77	2.77	21.043	0.668	0.81	0.026	0.038	-0.5	0.547	0.394	0.15	0.029	2.0
OLI407	3.102	-3	4.253	-3	1.222	0.013	0.016	0.009	0.801	-0.5	0.492	0.875	0.333	0.095	1.0
OLI409	5.711	4.326	1.704	1.704	1.018	0.048	0.053	0.18	0.041	-0.5	0.792	0.798	0.132	0.487	1.0
OLI410	4.139	-3	4.717	-3	1.018	0.048	0.053	0.18	0.041	-0.5	0.792	0.798	0.132	0.487	1.0
OLI412	2.179	-3	2.581	-3	1.083	0.025	0.031	0.582	0.019	-0.5	0.655	0.112	0.267	0.35	1.0
OLI413	0.164	-3	0.759	-3	5.773	0.011	0.031	0.71	0.019	-0.5	0.743	0.112	0.481	0.207	1.0
OLI414	3.38	-3	4.349	-3	1.006	0.035	0.066	0.029	0.754	-0.5	0.626	0.584	0.176	0.61	1.0
OLI415	2.95	-3	4.252	-3	4.575	0.642	0.035	0.032	0.0	-0.5	0.706	0.79	0.141	0.044	1.0
OLI416	3.964	-3	3.919	-3	4.891	0.031	0.133	0.764	0.705	-0.5	0.632	0.685	0.139	0.634	1.0
OLI418	3.188	3.188	8.024	-3	NaN	0.664	0.733	0.036	0.016	-0.5	0.428	0.744	1.091	0.458	2.0
OLI419	2.954	-3	4.093	-3	1.009	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.437	1.0
OLI426	4.112	-3	2.669	-3	5.091	0.039	0.006	0.063	0.0	-0.5	0.366	0.702	0.804	0.114	1.0
OLI428	3.692	-3	3.826	-3	18.696	0.013	0.049	0.742	0.019	-0.5	0.707	0.144	0.196	0.07	1.5
OLI440	4.261	-3	0.531	-3	1.883	0.0	0.052	0.026	0.045	-0.5	0.647	0.596	NaN	0.122	1.0
OLI443	4.823	4.823	5.197	5.197	NaN	0.754	0.705	0.028	0.022	-0.5	0.628	0.123	0.497	0.022	2.0
OLI445	7.649	-3	2.084	-3	4.143	0.028	0.038	0.073	0.116	-0.5	0.676	0.711	0.205	0.419	1.0
